,country,cityn,lats,lngs,temps,max_temps,humidities,clouds,winds
0,NO,Raudeberg,61.9875,5.1352,278.15,278.15,73,100,3.1
1,EC,Puerto Ayora,-0.7393,-90.3518,299.26,301.15,74,75,2.57
2,CA,Port Hardy,50.6996,-127.4199,278.31,280.15,93,75,4.63
3,NO,Mehamn,71.0357,27.8492,266.15,266.15,79,0,4.63
4,CA,Yellowknife,62.456,-114.3525,240.44,240.93,68,90,2.57
5,US,Nome,64.5011,-165.4064,256.15,256.15,66,1,2.62
6,RE,Saint-Joseph,-21.3667,55.6167,300.17,301.15,74,0,1.03
7,ES,Los Llanos de Aridane,28.6585,-17.9182,293.24,295.15,46,0,7.2
8,CA,Torbay,47.6666,-52.7314,269.73,270.93,63,75,4.63
9,IN,Hazaribagh,23.9833,85.35,291.73,291.73,31,83,0.93
10,BR,Arraial do Cabo,-22.9661,-42.0278,303.15,303.15,58,0,4.12
11,PH,Dingle,10.9995,122.6711,296.71,296.71,88,20,3.23
12,BR,Jacareacanga,-6.2222,-57.7528,303.41,303.41,61,87,1.6
13,ZA,Port Alfred,-33.5906,26.891,293.71,293.71,69,46,1.79
14,US,Pittsburg,38.028,-121.8847,281.88,283.15,76,1,2.06
